number,czech,selected_files,source,species_or_taxon,rejected_reason,confidence
33,Křen,images/033-kren/01.jpg | images/033-kren/02.jpg | images/033-kren/03.jpg,Poznávačka.pptx slide 17,Armoracia | Armoracia | Armoracia,image70.jpg; image85.jpg,high
34,Penízek,images/034-penizek/01.jpg | images/034-penizek/02.jpg | images/034-penizek/03.jpg,Poznávačka.pptx slide 5,Thlaspi | Thlaspi | Thlaspi,image1.jpg; image6.jpg,high
35,Kokoška,images/035-kokoska/01.jpg | images/035-kokoska/02.jpg | images/035-kokoska/03.jpg,Poznávačka.pptx slide 13,Capsella | Capsella | Capsella,image45.jpg; image48.jpg,high
36,Violka,images/036-violka/01.jpg | images/036-violka/02.jpg | images/036-violka/03.jpg,Poznávačka.pptx slide 19,Viola | Viola | Viola,image88.jpg; image74.jpg; image82.jpg,high
37,Třezalka,images/037-trezalka/01.jpg | images/037-trezalka/02.jpg | images/037-trezalka/03.jpg,Poznávačka.pptx slide 29,Hypericum | Hypericum | Hypericum,image144.jpg; image137.jpg,high
38,Sléz,images/038-slez/01.jpg | images/038-slez/02.jpg | images/038-slez/03.jpg,Poznávačka.pptx slide 30,Malva | Malva | Malva,image142.jpg; image151.jpg,high
39,Šťavel,images/039-stavel/01.jpg | images/039-stavel/02.jpg | images/039-stavel/03.jpg,Poznávačka.pptx slide 32,Oxalis | Oxalis | Oxalis,image152.jpg; image157.jpg,high
40,Kakost,images/040-kakost/01.jpg | images/040-kakost/02.jpg | images/040-kakost/03.jpg,Poznávačka.pptx slide 33,Geranium | Geranium | Geranium,image161.jpg; image168.jpg; image155.jpg,high
41,Netýkavka,images/041-netykavka/01.png | images/041-netykavka/02.png | images/041-netykavka/03.png,Poznávačka.pptx slide 37,Impatiens | Impatiens | Impatiens,image178.png; image180.png,high
42,Bršlice,images/042-brslice/01.png | images/042-brslice/02.png | images/042-brslice/03.png,Poznávačka.pptx slide 38,Aegopodium | Aegopodium | Aegopodium,image199.png; image184.png,high
43,Bolševník,images/043-bolsevnik/01.png | images/043-bolsevnik/02.png | images/043-bolsevnik/03.png,Poznávačka.pptx slide 39,Heracleum | Heracleum | Heracleum,image181.png; image194.png,high
44,Mrkev,images/044-mrkev/01.png | images/044-mrkev/02.png | images/044-mrkev/03.png,Poznávačka.pptx slide 40,Daucus | Daucus | Daucus,image182.png; image183.png,high
45,Chmel,images/045-chmel/01.png | images/045-chmel/02.png | images/045-chmel/03.png,Poznávačka.pptx slide 41,Humulus | Humulus | Humulus,image200.png; image191.png,high
46,Kopřiva,images/046-kopriva/01.png | images/046-kopriva/02.png | images/046-kopriva/03.png,Poznávačka.pptx slide 42,Urtica | Urtica | Urtica,image204.png; image192.png,high
47,Pryšec,images/047-prysec/01.png | images/047-prysec/02.png | images/047-prysec/03.png,Poznávačka.pptx slide 43,Euphorbia | Euphorbia | Euphorbia,image201.png; image202.png,high
48,Jmelí,images/048-jmeli/01.png | images/048-jmeli/02.png | images/048-jmeli/03.png,Poznávačka.pptx slide 44,Viscum | Viscum | Viscum,image210.png; image216.png,high
49,Rdesno,images/049-rdesno/01.png | images/049-rdesno/02.png | images/049-rdesno/03.png,Poznávačka.pptx slide 45,Bistorta / Persicaria | Bistorta / Persicaria | Bistorta / Persicaria,image239.png; image209.png,high
50,Šťovík,images/050-stovik/01.png | images/050-stovik/02.png | images/050-stovik/03.png,Poznávačka.pptx slide 46,Rumex | Rumex | Rumex,image211.png; image206.png; image212.png,high
51,Kohoutek,images/051-kohoutek/01.png | images/051-kohoutek/02.png | images/051-kohoutek/03.png,Poznávačka.pptx slide 47,Lychnis | Lychnis | Lychnis,image230.png; image229.png; image233.png,high
52,Silenka,images/052-silenka/01.png | images/052-silenka/02.png | images/052-silenka/03.png,Poznávačka.pptx slide 50,Silene | Silene | Silene,image246.png; image262.png,high
53,Hvozdík,images/053-hvozdik/01.png | images/053-hvozdik/02.png | images/053-hvozdik/03.png,Poznávačka.pptx slide 48,Dianthus | Dianthus | Dianthus,image226.png; image228.png,high
54,Ptačinec,images/054-ptacinec/01.png | images/054-ptacinec/02.png | images/054-ptacinec/03.png,Poznávačka.pptx slide 49,Stellaria | Stellaria | Stellaria,image232.png; image237.png,high
